text,label,category
Have you started buying your Chinese New Year goodies yet?,1,chinese_cultural_events
My wife is already planning the reunion dinner menu.,0,chinese_cultural_events
Are you making pineapple tarts this year or buying them?,1,chinese_cultural_events
The bak kwa stall always has such a long queue before CNY.,0,chinese_cultural_events
Remember how we used to make all our snacks from scratch?,1,chinese_cultural_events
This year I want to try a new recipe for nian gao.,0,chinese_cultural_events
Did you finish your spring cleaning already?,1,chinese_cultural_events
My house feels so fresh after the big clean-up.,0,chinese_cultural_events
Where do you usually buy your CNY decorations?,1,chinese_cultural_events
I saw some beautiful red couplets at the market just now.,0,chinese_cultural_events
What color new clothes are you wearing for the first day?,1,chinese_cultural_events
I prefer traditional cheongsams over modern outfits.,0,chinese_cultural_events
Is your family gathering at your place for reunion dinner?,1,chinese_cultural_events
My children are flying back just for the holidays.,0,chinese_cultural_events
Do you still exchange mandarin oranges when visiting?,1,chinese_cultural_events
The prices for steamboat ingredients have gone up so much.,0,chinese_cultural_events
I miss the old days when CNY felt simpler.,0,chinese_cultural_events
Are you going to the flower market this weekend?,1,chinese_cultural_events
We bought a really nice kumquat plant for good luck.,0,chinese_cultural_events
Have you called your relatives to arrange visit timings?,1,chinese_cultural_events
How many houses are you visiting this Chinese New Year?,1,chinese_cultural_events
My grandchildren are so excited to receive angbaos.,0,chinese_cultural_events
Do you give angbaos to your nieces and nephews too?,1,chinese_cultural_events
I always make sure to have plenty of new fifty-dollar notes.,0,chinese_cultural_events
Is it okay to give digital angbaos now?,1,chinese_cultural_events
"I prefer the traditional red packets, it feels more personal.",0,chinese_cultural_events
Do you remember the minimum amount we used to give for angbaos?,1,chinese_cultural_events
Some of my relatives have too many children now!,0,chinese_cultural_events
We need to remember to greet everyone with auspicious phrases.,0,chinese_cultural_events
Are you bringing your children to visit my house?,1,chinese_cultural_events
The traffic on the first few days of CNY is always terrible.,0,chinese_cultural_events
Do you still play mahjong during CNY gatherings?,1,chinese_cultural_events
My cousins love playing ban luck until late night.,0,chinese_cultural_events
Have you seen the new lion dance troupe performing at the temple?,1,chinese_cultural_events
The sound of firecrackers always brings back so many memories.,0,chinese_cultural_events
Are you going to any open houses this year?,1,chinese_cultural_events
My daughter-in-law makes the best love letters.,0,chinese_cultural_events
Do you think we should wear red for good fortune?,1,chinese_cultural_events
The children's laughter fills the house during festive seasons.,0,chinese_cultural_events
Have you wished your friends Gong Xi Fa Cai yet?,1,chinese_cultural_events
Are you planning to attend any getai shows this Hungry Ghost Festival?,1,chinese_cultural_events
I love watching the lively performances under the void deck.,0,chinese_cultural_events
Which getai singer is your favourite this year?,1,chinese_cultural_events
Wang Lei is always so entertaining with his jokes.,0,chinese_cultural_events
Do you remember the getai shows we watched when we were young?,1,chinese_cultural_events
The stage setups are much grander these days.,0,chinese_cultural_events
Should we bring our own foldable chairs to get a good spot?,1,chinese_cultural_events
The dialect songs always bring tears to my eyes.,0,chinese_cultural_events
What time does the show usually start?,1,chinese_cultural_events
We should go early to reserve our seats.,0,chinese_cultural_events
Is the weather going to be hot for the outdoor getai?,1,chinese_cultural_events
I hope they play some old Hokkien classics tonight.,0,chinese_cultural_events
Did you see the glamorous costumes the performers wore last night?,1,chinese_cultural_events
The atmosphere at a getai show is always so vibrant.,0,chinese_cultural_events
Are you going to the big getai at Ang Mo Kio?,1,chinese_cultural_events
My husband loves listening to the live band music.,0,chinese_cultural_events
Have you ever tried to sing on a getai stage before?,1,chinese_cultural_events
I prefer the smaller community getai shows.,0,chinese_cultural_events
Do you think the younger generation still appreciates getai?,1,chinese_cultural_events
The MCs are always so good at engaging the crowd.,0,chinese_cultural_events
Should we bring some drinks along to the show?,1,chinese_cultural_events
I remember when getai was mostly in Teochew or Hokkien.,0,chinese_cultural_events
Are there any shows near our estate this week?,1,chinese_cultural_events
The sound system quality has improved so much over the years.,0,chinese_cultural_events
Does your grandchildren ever come with you to watch getai?,1,chinese_cultural_events
When are you going for Qingming this year?,1,chinese_cultural_events
We usually go to the columbarium in the morning.,0,chinese_cultural_events
Did you prepare all the offerings for your ancestors?,1,chinese_cultural_events
My mother always reminds me to bring extra joss sticks.,0,chinese_cultural_events
Do you still burn paper houses and cars for the afterlife?,1,chinese_cultural_events
The weather is always so hot during Qingming.,0,chinese_cultural_events
Remember to offer prayers for good health and prosperity.,0,chinese_cultural_events
Are you lighting incense at the temple later?,1,chinese_cultural_events
The smell of incense always reminds me of my grandmother.,0,chinese_cultural_events
Which temple do you usually visit for blessings?,1,chinese_cultural_events
I like the Kuan Yin Thong Hood Cho Temple for its peaceful atmosphere.,0,chinese_cultural_events
Do you buy vegetarian food after your temple visit?,1,chinese_cultural_events
The temple volunteers are always so helpful.,0,chinese_cultural_events
Are you celebrating Mid-Autumn Festival with mooncakes this year?,1,chinese_cultural_events
My favourite mooncake is still the traditional lotus seed paste with yolk.,0,chinese_cultural_events
Did you get any snow skin mooncakes for the kids?,1,chinese_cultural_events
We used to carry lanterns and parade around the block.,0,chinese_cultural_events
Do your grandchildren still play with traditional paper lanterns?,1,chinese_cultural_events
I miss the old-school cellophane lanterns.,0,chinese_cultural_events
Will you be admiring the full moon from your void deck?,1,chinese_cultural_events
My daughter-in-law made some delicious yam paste for dessert.,0,chinese_cultural_events
Do you know the story behind the Mid-Autumn Festival?,1,chinese_cultural_events
The community centre is having a lantern making competition.,0,chinese_cultural_events
Are you attending the Dragon Boat Festival race this year?,1,chinese_cultural_events
My family always makes our own bak chang.,0,chinese_cultural_events
"Which filling do you prefer for your bak chang, sweet or savoury?",1,chinese_cultural_events
The glutinous rice needs to be soaked overnight.,0,chinese_cultural_events
Do you know any good fortune tellers in Geylang?,1,chinese_cultural_events
My mother consults the almanac for important dates.,0,chinese_cultural_events
Are you going to offer prayers during Wesak Day?,1,chinese_cultural_events
The Eight Immortals temple has beautiful carvings.,0,chinese_cultural_events
Do you think feng shui still matters for modern homes?,1,chinese_cultural_events
We should pay respects to our ancestors on their death anniversaries.,0,chinese_cultural_events
Have you participated in the annual Nine Emperor Gods Festival?,1,chinese_cultural_events
The vegetarian food during this festival is so good.,0,chinese_cultural_events
Is your son coming back for dinner tonight?,1,chinese_cultural_events
My grandchildren love playing at the playground downstairs.,0,chinese_cultural_events
Do you remember the taste of our grandmother's cooking?,1,chinese_cultural_events
I often cook Hokkien mee for my family on weekends.,0,chinese_cultural_events
Where do you find the best char kway teow these days?,1,chinese_cultural_events
The hawker centre near my old flat had amazing food.,0,chinese_cultural_events
Are you meeting your friends for kopi-O this morning?,1,chinese_cultural_events
We usually chat about our children and grandchildren.,0,chinese_cultural_events
Do you still play mahjong with your sisters?,1,chinese_cultural_events
My fingers are not as nimble as before for mahjong.,0,chinese_cultural_events
Have you heard about the new community garden project?,1,chinese_cultural_events
I enjoy planting herbs and vegetables in my small balcony.,0,chinese_cultural_events
Do you go for morning walks at the park?,1,chinese_cultural_events
The fresh air in the morning is so invigorating.,0,chinese_cultural_events
Remember the old cinema where we used to watch Chinese movies?,1,chinese_cultural_events
Those black and white films were so classic.,0,chinese_cultural_events
Do you still listen to Rediffusion programmes?,1,chinese_cultural_events
My radio is always tuned to Capital 95.8 FM.,0,chinese_cultural_events
"How is your health these days, any aches or pains?",1,chinese_cultural_events
I try to do my exercises every morning.,0,chinese_cultural_events
Have you seen the new exhibit at the National Museum?,1,chinese_cultural_events
I prefer looking at old photos and reminiscing about the past.,0,chinese_cultural_events
Are your grandchildren learning Chinese in school?,1,chinese_cultural_events
It's important for them to know their roots.,0,chinese_cultural_events
Do you ever go back to visit your childhood neighbourhood?,1,chinese_cultural_events
"So many things have changed, it's hard to recognise it now.",0,chinese_cultural_events
What are your plans for the upcoming long weekend?,1,chinese_cultural_events
I might just relax at home and read a book.,0,chinese_cultural_events
Have you tried the new kaya toast at the kopitiam?,1,chinese_cultural_events
It reminds me of the one my mother used to make.,0,chinese_cultural_events
Is your family planning a big holiday trip soon?,1,chinese_cultural_events
"I prefer staying in Singapore, it's more convenient.",0,chinese_cultural_events
Do you still knit or crochet in your free time?,1,chinese_cultural_events
I'm making a blanket for my new grand-niece.,0,chinese_cultural_events
Have you seen the prices of groceries lately?,1,chinese_cultural_events
Everything seems to be getting more expensive.,0,chinese_cultural_events
Are you going for your regular check-up at the polyclinic?,1,chinese_cultural_events
It's important to keep track of our health as we age.,0,chinese_cultural_events
Do you miss the days of street hawkers and pushcarts?,1,chinese_cultural_events
The food had a different kind of flavour back then.,0,chinese_cultural_events
What is your favourite traditional Chinese dessert?,1,chinese_cultural_events
I love a good bowl of tau suan with you tiao.,0,chinese_cultural_events
Are you attending the next void deck singing session?,1,chinese_cultural_events
My friend loves to sing old Mandopop songs.,0,chinese_cultural_events
Have you joined any senior activity groups in your neighbourhood?,1,chinese_cultural_events
It's nice to meet new people and stay active.,0,chinese_cultural_events
Do you remember the taste of traditional ice cream potong?,1,chinese_cultural_events
The red bean flavour was always my favourite.,0,chinese_cultural_events
Are you visiting the wet market early tomorrow morning?,1,chinese_cultural_events
The freshest produce sells out quickly.,0,chinese_cultural_events
Is it true that you shouldn't sweep the floor on the first day of CNY?,1,chinese_cultural_events
My mother always said it sweeps away good luck.,0,chinese_cultural_events
Have you prepared the tray of togetherness for guests?,1,chinese_cultural_events
I always include melon seeds and preserved fruits.,0,chinese_cultural_events
Do you still light incense to the Kitchen God before CNY?,1,chinese_cultural_events
It's a tradition many young people don't know about.,0,chinese_cultural_events
Did you get your auspicious numbers for TOTO or 4D?,1,chinese_cultural_events
Everyone hopes for good luck during the festive season.,0,chinese_cultural_events
Are your grandchildren learning the lion dance steps?,1,chinese_cultural_events
They look so cute in their little lion costumes.,0,chinese_cultural_events
What time is your reunion dinner this year?,1,chinese_cultural_events
We always have it exactly at 7 pm sharp.,0,chinese_cultural_events
Have you ordered your yusheng from the restaurant?,1,chinese_cultural_events
Lo hei is a must for good fortune.,0,chinese_cultural_events
Do you remember when angbaos only contained a dollar or two?,1,chinese_cultural_events
Inflation has certainly affected angbao rates too.,0,chinese_cultural_events
Are you wearing red underwear for good luck this year?,1,chinese_cultural_events
Some traditions are still strong among the older generation.,0,chinese_cultural_events
Did you buy any new plants to decorate your living room?,1,chinese_cultural_events
Orchids bring such an elegant touch to the home.,0,chinese_cultural_events
Is your family planning a picnic on the second day of CNY?,1,chinese_cultural_events
It's nice to enjoy the outdoors when the weather is good.,0,chinese_cultural_events
Have you sent your digital greetings to overseas relatives?,1,chinese_cultural_events
Technology makes it easier to stay connected.,0,chinese_cultural_events
Do you still give out sweet treats to the children who visit?,1,chinese_cultural_events
Have you bought any joss paper for the Hungry Ghost Festival?,1,chinese_cultural_events
We always prepare enough offerings for our ancestors.,0,chinese_cultural_events
Do you still leave empty seats for the 'good brothers' at getai?,1,chinese_cultural_events
It's a sign of respect for the spirits.,0,chinese_cultural_events
Which temple is having the big festival procession next month?,1,chinese_cultural_events
The Nine Emperor Gods procession is always very grand.,0,chinese_cultural_events
Are you going to light sky lanterns for the Mid-Autumn Festival?,1,chinese_cultural_events
The sight of them floating up is truly beautiful.,0,chinese_cultural_events
Did you taste the Teochew-style mooncakes this year?,1,chinese_cultural_events
Their flaky crust is simply irresistible.,0,chinese_cultural_events
Do you remember the traditional puppet shows at temple fairs?,1,chinese_cultural_events
Those were really a treat to watch.,0,chinese_cultural_events
Is the Tua Pek Kong Temple having its annual fair soon?,1,chinese_cultural_events
I love the atmosphere with all the food stalls and games.,0,chinese_cultural_events
Have you seen the opera performances at the temple grounds?,1,chinese_cultural_events
Chinese opera requires incredible skill and dedication.,0,chinese_cultural_events
Do you know which dialect group started the getai tradition?,1,chinese_cultural_events
"It's largely rooted in Hokkien culture, I believe.",0,chinese_cultural_events
Are there any special prayers for good fortune this year?,1,chinese_cultural_events
We always pray for peace and good health for our family.,0,chinese_cultural_events
