text,label
I need to collect my blood pressure medicine from the polyclinic tomorrow morning.,healthcare
My knee has been aching a bit more since the rainy weather started.,healthcare
Did you remember to take your diabetes pills after dinner?,healthcare
The doctor at the CHAS clinic told me to reduce my sugar intake.,healthcare
I have a physiotherapy appointment next Tuesday for my shoulder.,healthcare
They said the flu vaccination is free for Pioneer Generation members this year.,healthcare
I must remember to schedule my annual eye check-up soon.,healthcare
My neighbour recommended a good Traditional Chinese Medicine sinseh for my back pain.,healthcare
"The queue at the pharmacy was so long, I waited almost an hour for my prescription.",healthcare
"Is your walking stick still comfortable, or do you need a new one?",healthcare
The nurse advised me to drink more water to stay hydrated in this heat.,healthcare
I'm trying to walk a bit more every day to keep my joints flexible.,healthcare
Did you hear about the new health screening programme for seniors?,healthcare
My Merdeka Generation card gives me a discount on my dental check-up.,healthcare
"I feel a bit tired today, maybe I should rest more.",healthcare
"Remember to monitor your blood sugar levels regularly, ah.",healthcare
My doctor said my cholesterol levels are much better now.,healthcare
Is there a specific exercise for improving my balance?,healthcare
I keep forgetting where I put my reading glasses lately.,healthcare
The hospital called to confirm my specialist appointment for next month.,healthcare
My grandson just started secondary school this year.,long-term
We've been living in this HDB flat for over forty years already.,long-term
My daughter finally bought her own BTO flat in Punggol.,long-term
I enjoy going to the community centre for my weekly tai chi class.,long-term
"My wife loves planting orchids on our balcony, it's her favourite hobby.",long-term
My youngest granddaughter is so good at playing the piano.,long-term
We always have our big family reunion dinner during Chinese New Year.,long-term
My late husband used to take me to the Botanic Gardens every weekend.,long-term
I still meet my old primary school friends for coffee once a month.,long-term
My son-in-law is always so helpful with fixing things around the house.,long-term
We plan to visit our relatives in Malaysia next school holiday.,long-term
Gardening is such a relaxing hobby for me; I love watching my plants grow.,long-term
My favourite memory is when my children were young and we went to Sentosa often.,long-term
I still have the first angbao my eldest son gave me after he started working.,long-term
My husband and I have always enjoyed watching Cantonese opera together.,long-term
"Our HDB block has a strong sense of community, everyone knows each other.",long-term
I've been volunteering at the old folks' home for the past five years.,long-term
"My son works overseas, but he calls me every Sunday without fail.",long-term
The kopitiam downstairs has been here since I was a young girl.,long-term
I prefer cooking at home because I like traditional family recipes.,long-term
Shall we eat chicken rice at the hawker centre later for lunch?,short-term
"It's so hot today, I think I'll just stay home and turn on the air-con.",short-term
"The MRT train was quite crowded this morning, even at this hour.",short-term
I need to go to the wet market to buy some fresh fish for dinner.,short-term
Did you see the long queue at the 4D shop downstairs just now?,short-term
