text,label
Have you tried the new hawker centre near my HDB?,1
I love walking at East Coast Park on weekends.,0
The MRT station is usually very crowded during peak hours.,0
Do you remember the old kopitiam on the corner?,1
My grandchildren are coming over for dinner tonight.,0
"Is it going to rain later, the sky looks dark?",1
I need to buy some fresh vegetables from the wet market tomorrow.,0
Did you manage to get a good parking spot at the polyclinic?,1
"This chili crab is so delicious, the best I've had in ages.",0
Are you planning to visit your relatives for Chinese New Year?,1
"I gave out many angbaos this year, my wallet is much lighter.",0
What time does the neighbourhood getai show start tonight?,1
My son helped me set up my new smartphone.,0
Have you gotten your flu vaccination yet?,1
I enjoy watching the news and reading the newspaper every morning.,0
Is the bus still running on time these days?,1
"The weather is so humid, I need a cold drink.",0
Remember when everything was much cheaper in Singapore?,1
My favourite hobby is gardening on my HDB corridor.,0
Which hawker stall sells the best char kway teow around here?,1
I think the durians this season are exceptionally good.,0
Shall we meet for dim sum next week?,1
I often go for a morning walk around the void deck.,0
Do you still go to the community centre for your activities?,1
My back aches a bit after helping my daughter move furniture.,0
Is the supermarket having any promotions on cooking oil?,1
I saw a really good getai performance during the Hungry Ghost Festival.,0
Did you manage to catch the NDP parade on TV?,1
"My old school friend called me up yesterday, it was good to talk.",0
How are your grandchildren doing in school?,1
This new HDB estate has many good amenities.,0
Do you prefer kopi-o or kopi-c?,1
I take the public bus to the market every Tuesday.,0
What do you think about the rising cost of living?,1
I miss the old days of playing chapteh downstairs.,0
Is the polyclinic still crowded these days?,1
My doctor told me to walk more often.,0
Have you tried the new prata shop that opened recently?,1
My wife loves to bake kueh lapis for special occasions.,0
Are you going to attend the temple's anniversary celebration?,1
The queue for the famous chicken rice stall was so long.,0
Which bank gives the best interest rates for seniors?,1
I always buy my fresh fruits from the fruit stall at the wet market.,0
Did you manage to book your slot for the senior exercise class?,1
It's important to keep our minds active as we grow older.,0
Does your HDB unit have a good view of the park?,1
I prefer to take the MRT because it's faster than the bus.,0
What did you cook for dinner last night?,1
My neighbour shared some delicious homemade curry puffs with me.,0
Are you going to the community garden clean-up this Saturday?,1
I remember when this whole area was just kampung.,0
Is the hawker centre still open late at night?,1
My son drives me to the hospital for my appointments now.,0
Have you seen the new exhibition at the National Museum?,1
The weather today is perfect for a leisurely stroll.,0
Do you think the prices at the wet market have gone up again?,1
I bought a new rice cooker from the local electrical shop.,0
Are you receiving the Merdeka Generation benefits?,1
My knees feel much better after my physiotherapy sessions.,0
What's your favourite way to spend a quiet afternoon?,1
"This bak kut teh is very peppery, just how I like it.",0
Is it easy to get a taxi from your HDB block?,1
I always carry an umbrella because the weather is so unpredictable.,0
Did you enjoy the concert at the Esplanade last month?,1
My daughter-in-law makes the best popiah.,0
Are you going to the senior health talk next week?,1
I like sitting at the kopitiam and watching people go by.,0
Which bus goes directly to Orchard Road from here?,1
I bought some new clothes for my grandchildren for CNY.,0
Have you heard about the new community library opening?,1
My old friends from school still meet up once a month.,0
What's your secret to staying so active?,1
This Ang Mo Kio HDB estate has changed so much.,0
Does your family still have steamboat for reunion dinner?,1
I prefer to use the pay-as-you-go data plan for my phone.,0
Is the wet market at Tiong Bahru still as lively as before?,1
My wife teaches me how to use the internet.,0
Did you get a good deal on your new spectacles?,1
I find it relaxing to listen to old songs on the radio.,0
Where can I find a good seamstress for alterations?,1
The queue for the MRT was shorter than usual today.,0
Have you seen the beautiful flowers blooming in the park?,1
My son gave me an air fryer for my birthday.,0
Are you growing any vegetables in your community garden plot?,1
I remember when the buses didn't have air-conditioning.,0
Is the Senior Citizen Concession card still valid on public holidays?,1
This chicken curry reminds me of my mother's cooking.,0
What time do you usually go to the hawker centre for lunch?,1
My neighbour helps me carry my groceries sometimes.,0
Did you manage to get tickets for the Chinese opera show?,1
I enjoy watching the sunrise from my HDB window.,0
Do you prefer to cook at home or eat out?,1
The new polyclinic is very convenient for us.,0
Is there a good fishmonger at the wet market today?,1
I like to drink hot kopi-o no sugar every morning.,0
Are you celebrating Hari Raya with your family this year?,1
My eyes get tired easily after reading for too long.,0
What's your favourite local dessert?,1
I remember queuing for hours to get a phone line back then.,0
Has your family booked a holiday trip for the school break?,1
The government is doing more to support seniors these days.,0
Do you think we will have another getai show soon?,1
I always make sure to wear comfortable shoes for walking.,0
Is the community centre offering any new classes for seniors?,1
"My grand-niece just started primary school, she's so cute.",0
Have you tried the new bakery at the neighbourhood mall?,1
I prefer to take the bus during off-peak hours to avoid the crowd.,0
What's your secret to a long and healthy life?,1
The hawker centre food is still very affordable.,0
Did you receive your latest Pioneer Generation package?,1
I like to spend my afternoons at the senior activity centre.,0
Are you going to visit the new Bicentennial Experience exhibition?,1
My HDB block has a very active residents' committee.,0
Is the wet market still selling fresh durians?,1
I helped my daughter prepare for her cooking competition.,0
Have you renewed your public transport concession card?,1
The traffic on the roads seems to be getting worse.,0
Do you prefer to go to the supermarket or the wet market for groceries?,1
My grandchildren taught me how to use video calls.,0
Is the polyclinic open on Saturday mornings?,1
I enjoy a good teh tarik at the kopitiam.,0
What's your plan for the upcoming long weekend?,1
The public library has a great selection of Chinese novels.,0
Did you attend the community singing session last week?,1
My knees feel a bit stiff after sitting for too long.,0
Are there any good sales at the local shops for Hari Raya?,1
I bought a fresh fish from the wet market and cooked it for dinner.,0
Have you tried the new vegetarian stall at the hawker centre?,1
My son upgraded my old mobile phone for me.,0
Is the MRT still running on an extended schedule during festivals?,1
I always enjoy watching the firecrackers during Chinese New Year.,0
What are your plans for the upcoming Deepavali celebration?,1
The bus journey takes a bit longer now with the new route.,0
Do you remember the old cinema that used to be here?,1
My neighbour's durian tree produced a lot of fruit this year.,0
Is the community garden looking good after the rain?,1
I miss having proper kampung chicken in Singapore.,0
Have you tried the new Nasi Lemak stall everyone is talking about?,1
My doctor advised me to eat less sugar.,0
Are you planning to go for your annual eye check-up soon?,1
I like to take the MRT to explore different parts of Singapore.,0
What's your favourite memory from your younger days in Singapore?,1
"The weather is so hot, I need to stay hydrated.",0
Did you hear about the new initiatives for seniors in the neighbourhood?,1
My daughter helps me with my online banking.,0
Is there a good place to buy traditional biscuits nearby?,1
I still prefer to use cash at the wet market.,0
Are you attending the Residents' Committee meeting this month?,1
My favourite pastime is listening to the radio and knitting.,0
How was your recent visit to the polyclinic?,1
Have you seen the new community garden at our void deck?,1
My HDB block will be repainted next month.,0
The lift upgrading for our estate is finally complete.,0
Do you know if the RC centre is open today?,1
I heard they are building a new polyclinic nearby.,0
Let's meet for kopi at the kopitiam later.,0
Which stall sells the best char kway teow here?,1
I always order teh-c kosong at the hawker centre.,0
Did you try the new roti prata shop?,1
This laksa is a bit too spicy for me.,0
Remember the old days when kaya toast was cheaper?,1
I fancy some durian after dinner tonight.,0
Where can I find good chee cheong fun in this neighbourhood?,1
The Milo Dinosaur here is very shiok!,0
The MRT is so crowded during peak hours now.,0
Do you take the bus or MRT to the market?,1
My senior citizen card gives me discounts on bus fares.,0
Is the new Thomson-East Coast Line very convenient for you?,1
I saw many elderly people using the priority seats on the train.,0
I need to go to the wet market to buy fresh fish.,0
Are the vegetables cheaper at the wet market or supermarket?,1
The auntie at the fruit stall always gives me extra.,0
Did you manage to get a good deal on prawns today?,1
I prefer shopping at the neighbourhood stores.,0
Are you ready for Chinese New Year this year?,1
My grandchildren are excited to collect angbaos.,0
Did you watch the getai performance at the community centre last night?,1
I'm already planning my CNY reunion dinner menu.,0
The Lunar New Year decorations are very pretty this year.,0
Did you hear the new year's greeting from your friends?,1
I went for my annual health check-up last week.,0
My knees have been aching a bit lately.,0
Do you still go for your morning walk at the park?,1
My grandchildren are coming over this weekend.,0
Are you going for the senior exercise class at the CC?,1
I enjoy playing mahjong with my friends on Fridays.,0
Have you tried the new tai chi group at the void deck?,1
How often do you visit your children now?,1
I spend my afternoons reading the newspaper.,0
"The weather is so hot these days, even with the fan on.",0
Did you read about the new initiative for seniors in the news?,1
I remember when this area was mostly kampongs.,0
Public holidays always mean more crowds everywhere.,0
Isn't it wonderful to see so many young people volunteering?,1
The Merdeka Generation package has been very helpful.,0
Where is the best place to get good quality bak kut teh?,1
I prefer Hainanese chicken rice from this hawker stall.,0
Do you like to walk along East Coast Park in the evenings?,1
My friend just moved to a new flat in Jurong.,0
We should try that new dim sum place everyone is talking about.,0
Is it true that the Pioneer Generation card gets you free entry to museums?,1
I need to renew my library books by next Tuesday.,0
Did you hear about the community barbecue at the void deck?,1
The bus arrived much earlier than expected this morning.,0
What are your plans for the upcoming long weekend?,1
I'm thinking of taking up a new hobby like calligraphy.,0
Have you seen the beautiful flowers blooming at the Gardens by the Bay?,1
My neighbour brings me freshly baked treats sometimes.,0
Are you joining the senior tour group to Malaysia next month?,1
The air-con in the shopping mall is always so cold.,0
I need to get my eyes checked soon.,0
How much does a senior pass for public transport cost now?,1
We used to queue for hours to buy concert tickets.,0
Do you remember the old cinemas in town?,1
My daughter bought me a new smart phone for my birthday.,0
The prices at the supermarket seem to be going up every week.,0
Did you get your flu shot yet this year?,1
I love watching the National Day Parade every August.,0
I miss the taste of traditional nonya kueh.,0
Is it easy to get a taxi from here during dinner time?,1
"My friend won 4D last week, very lucky!",0
I like to visit the community centre for the morning exercises.,0
Have you considered learning how to use a tablet?,1
The void deck tables are always occupied by mahjong players in the evening.,0
Do you think the rain will last all day?,1
I need to prepare some traditional dishes for my family this weekend.,0
Which hawker stall sells the best satay?,1
The cleanliness of our hawker centres has really improved.,0
My doctor prescribed me new medication for my blood pressure.,0
Are there any good discounts for seniors at the department stores?,1
I enjoy listening to old songs on the radio while cooking.,0
Did you visit the new polyclinic in Ang Mo Kio?,1
The queue for the popular wanton mee stall is always so long.,0
I planted some herbs in my HDB corridor garden.,0
Do you know where the nearest SAFRA club is?,1
My neighbour shared some delicious homemade pineapple tarts with me.,0
What time does the wet market close on Sundays?,1
I still prefer using cash over digital payments.,0
Have you heard about the new senior activity centre opening soon?,1
The community health post offers free screenings sometimes.,0
Which bus goes directly to the Jurong Bird Park?,1
My grandchildren taught me how to video call them.,0
I remember when Queenstown was just starting to develop.,0
Do you think the cost of living will go down next year?,1
The public library is a good place to escape the heat.,0
Are you planning to attend the Deepavali bazaar this year?,1
I usually buy my groceries from the nearby Sheng Siong.,0
What's your secret to staying active and healthy?,1
The coffee at this kopitiam is consistently good.,0
Did you receive your Merdeka Generation healthcare benefits booklet?,1
I often take a stroll around the park connector.,0
When is the next community singing session at the CC?,1
My neighbour helped me carry my groceries upstairs.,0
Have you ever tried making your own chilli crab sauce?,1
I enjoy watching getai during the Hungry Ghost Festival.,0
Do you still visit the same barber you've gone to for years?,1
The hawker centre near my place just got renovated.,0
I always buy my fresh fruits from the wet market stall.,0
What do you think of the new public transport payment system?,1
It's nice to see more designated senior-friendly facilities.,0
My friend and I play chess at the void deck every morning.,0
Did you manage to catch the National Day fireworks display?,1
I miss the old school snacks from my childhood.,0
Are you going to vote in the upcoming general election?,1
The government's initiatives for seniors are very helpful.,0
What time does the last bus leave from the interchange?,1
I like to share local recipes with my friends.,0
Have you considered getting a part-time job as a senior?,1
My daughter often takes me out for dinner on weekends.,0
The queue at the polyclinic was quite long this morning.,0
Do you remember when there were trishaws on the roads?,1
I find it relaxing to sit at the void deck and watch people pass by.,0
Is the new community centre offering any interesting courses for seniors?,1
I need to visit the post office to send a parcel.,0
What's your favorite spot in Singapore for a peaceful walk?,1
My grandson taught me how to use the self-checkout machine.,0
Did you participate in the community clean-up last Saturday?,1
I always make sure to drink enough water in this hot weather.,0
The new bus service makes it easier to get to the hospital.,0
Are you planning to visit any of the CNY open houses?,1
I bought some lovely Peranakan porcelain ware from a shop in Katong.,0
How do you keep your mind sharp as you age?,1
My doctor recommended regular swimming for my joints.,0
Have you visited the new museum exhibition downtown?,1
The street lights in our estate are much brighter now.,0
Do you still enjoy reading physical books or e-books?,1
I often buy my bread from the neighbourhood bakery.,0
What's your secret ingredient for making delicious curry?,1
I miss the sound of cicadas in the evenings.,0
Did you collect your free mask distribution from the CC?,1
My grandchildren love to play at the playground near my HDB.,0
Is it true that the elderly can get discounts at the cinema on weekdays?,1
I remember going to the drive-in cinema when I was younger.,0
Are you going to attend the upcoming Lantern Festival celebrations?,1
The new hawker centre has a lot more variety of food.,0
How do you feel about the cashless payment systems becoming more common?,1
"I prefer to pay with cash, it's easier to keep track.",0
My neighbour gave me some homemade kueh lapis for CNY.,0
"The weather has been so hot lately, right?",1
My grandson just started Primary One this year.,0
Shall we meet for kopi at the kopitiam later?,1
This char kway teow stall always has a long queue.,0
Are you going to the community centre's tai chi class tomorrow?,1
I remember when this area was all kampongs.,0
Did you manage to get fresh fish from the wet market this morning?,1
The MRT ride was quite crowded during peak hours.,0
My knees feel a bit stiff after today's walk.,0
What time does your daughter usually visit on Sundays?,1
I need to buy some ingredients for my chicken curry.,0
Did you hear about the new senior activities at the void deck?,1
The government has really improved our public transport.,0
Is your son coming for dinner tonight?,1
I saw Auntie Lucy at the wet market just now.,0
Do you prefer kopi-O or teh-C?,1
The new HDB flat in Tengah looks very modern.,0
My doctor told me to cut down on sugar in my drinks.,0
Are you going to watch the Getai show during the Seventh Month Festival?,1
The price of vegetables at the market seems to be going up.,0
Have you planted new orchids in your balcony?,1
I remember when an angbao only had a few dollars inside.,0
"The bus came quite fast today, I didn't have to wait long.",0
What a beautiful day for a stroll in the park.,0
Should we take the bus or the MRT to Orchard Road?,1
My neighbour's grandchildren are so noisy sometimes.,0
Do you know where the best roti prata is around here?,1
I still miss the old cinema from my younger days.,0
Did you see the latest news about the upcoming public holiday?,1
I usually buy my groceries from the Sheng Siong supermarket.,0
Is it true they are upgrading the void deck next month?,1
My wife makes the best laksa in our family.,0
What's your secret for growing such healthy plants?,1
The air-con in the shopping mall felt so good just now.,0
Have you seen the new mural painted near the community garden?,1
I need to renew my senior citizen's concession card soon.,0
Do you think the NDP parade will be exciting this year?,1
